element;nb occurence;name of data element;name of the grouping item;name of registry;explanatory description;list of permitted values
art;44;Start date;Radiotherapy;PaedCan;First day of radiotherapy;dd/mm/yyyy
art;44;Start date;Other treatments;PaedCan;Date when therapy was started;dd/mm/yyyy or uk/uk/yyyy
art;44;Participation in detailed Disease Registry;Research;EuRR-Bone & EuRRECa;Involvement in detailed disease registries;Y/N/NK
art;44;Heart rate;Thyroid Clinical Outcome;EuRR-Bone & EuRRECa;Resting heart rate for age;N/Low/High/Not Known
art;44;Familial partial lipodystrophy Type 1;GLUCOSE & INSULIN;EuRR-Bone & EuRRECa;Familial partial lipodystrophy Type 1;
art;44;Familial partial lipodystrophy Type 2;GLUCOSE & INSULIN;EuRR-Bone & EuRRECa;Familial partial lipodystrophy Type 2;
art;44;Cognitive impairment-coarse facies-heart defects-obesity-pulmonary involvement-short stature-skeletal dysplasia syndrome;GROWTH & OBESITY;EuRR-Bone & EuRRECa;Cognitive impairment-coarse facies-heart defects-obesity-pulmonary involvement-short stature-skeletal dysplasia syndrome;
art;44;Partial gonadal dysgenesis;SEX DEVELOPMENT;EuRR-Bone & EuRRECa;Partial gonadal dysgenesis;
art;44;Partial gonadal dysgenesis;SEX DEVELOPMENT;EuRR-Bone & EuRRECa;Partial gonadal dysgenesis;
art;44;Cartilage-hair hypoplasia ;BONE DYSPLASIA;EuRR-Bone & EuRRECa;Cartilage-hair hypoplasia ;
arterial;1;arterial_thrombosis;Diagnosis Aetiology;Rare Liver (Vascular);Arterial thrombosis;radio
artery;2;hepatic_artery;Diagnosis Imaging / Haemodynamics / Fibroscan;Rare Liver (Vascular);Hepatic artery;radio
artery;2;free_pulm_artery_press;Diagnosis Imaging / Haemodynamics / Fibroscan;Rare Liver (Vascular);Free pulmonary artery pressure;numeric
arthrogryposis;1;Arthrogryposis;Diagnosis Skeletal;EURO-NMD;;yesno
artrophy;1;artrophy_hypertrophy_compl;Diagnosis Imaging / Haemodynamics / Fibroscan;Rare Liver (Vascular);Atrophy / hypertrophy complex;radio
asc;28;R_AIH_Ascites;(AIH Diagnosis) Liver related complications;Rare Liver (Auto imune);Ascites;radio
asc;28;R_PBC_Ascites;(PBC Diagnosis) Liver-related complications / signs of cirrhosis;Rare Liver (Auto imune);Ascites;radio
asc;28;R_PSC_Ascites;(PSC Diagnosis) Malignancies / Liver-related outcome;Rare Liver (Auto imune);Ascites;radio
asc;28;R_AIH_Ascites_6months;(AIH 6 months follow-up (+/- 6 weeks))Outcome / Follow-up during past 6 months;Rare Liver (Auto imune);Ascites;radio
asc;28;R_AIH_Date_ascites_6months;(AIH 6 months follow-up (+/- 6 weeks))Outcome / Follow-up during past 6 months;Rare Liver (Auto imune);Date ascites;date
asc;28;R_PSC_Ascites_followup;PSC Follow-up Outcome;Rare Liver (Auto imune);Ascites;radio
asc;28;R_PSC_Date_ascites_followup;PSC Follow-up Outcome;Rare Liver (Auto imune);Date ascites;date
asc;28;R_AIH_Ascites_followup;AIH Follow-up Outcome II;Rare Liver (Auto imune);Ascites;radio
asc;28;R_AIH_Date_ascites_followup;AIH Follow-up Outcome II;Rare Liver (Auto imune);Date Ascites;date
asc;28;R_PBC_Ascites_followup;PBC Follow-up Outcome;Rare Liver (Auto imune);Ascites;radio
asc;28;R_PBC_Date_ascites_followup;PBC Follow-up Outcome;Rare Liver (Auto imune);Date ascites;date
asc;28;vasc_oth;Diagnosis General Information;Rare Liver (Vascular);Specify Other Vascular Disease;string
asc;28;weight_w_o_ascites_oedema;Diagnosis Clinical Manifestations;Rare Liver (Vascular);Estimated weight without ascites and oedema;numeric
asc;28;ascites;Diagnosis Clinical Manifestations;Rare Liver (Vascular);Ascites;radio
asc;28;asc_check;Diagnosis Clinical Manifestations;Rare Liver (Vascular);asc_check;calculation
asc;28;ascites_response_diuretics;Diagnosis Clinical Manifestations;Rare Liver (Vascular);Ascites response to diuretics;radio
asc;28;history_of_ascites;Diagnosis Clinical Manifestations;Rare Liver (Vascular);Ascites;radio
asc;28;sys_vasculitis;Diagnosis Clinical Manifestations;Rare Liver (Vascular);Vasculitis;radio
asc;28;ascites_degree;Diagnosis Imaging / Haemodynamics / Fibroscan;Rare Liver (Vascular);Ascites degree;radio
asc;28;dia_lab_ascites_alb;Diagnosis Laboratory data;Rare Liver (Vascular);Albumin;numeric
asc;28;dia_lab_ascites_tprot;Diagnosis Laboratory data;Rare Liver (Vascular);Total protein;numeric
asc;28;dia_lab_ascites_pmn;Diagnosis Laboratory data;Rare Liver (Vascular);Polymorphonuclear neutrophils;numeric
asc;28;fu_cli_bef_ascites_volume;Follow-up Clinical and laboratory data;Rare Liver (Vascular);Ascites volume;radio
asc;28;fu_cli_bef_ascites_sever;Follow-up Clinical and laboratory data;Rare Liver (Vascular);Ascites severity value;radio
asc;28;fu_cli_last_ascites_volume;Follow-up Clinical and laboratory data;Rare Liver (Vascular);Ascites volume;radio
asc;28;fu_cli_last_ascites_sever;Follow-up Clinical and laboratory data;Rare Liver (Vascular);Ascites severity;radio
asc;28;fu_ima_bef_imaging_ascites;Follow-up Imaging data;Rare Liver (Vascular);Ascites;radio
asc;28;fu_ima_last_ima_ascites;Follow-up Imaging data;Rare Liver (Vascular);Ascites;radio
ascites;25;R_AIH_Ascites;(AIH Diagnosis) Liver related complications;Rare Liver (Auto imune);Ascites;radio
ascites;25;R_PBC_Ascites;(PBC Diagnosis) Liver-related complications / signs of cirrhosis;Rare Liver (Auto imune);Ascites;radio
ascites;25;R_PSC_Ascites;(PSC Diagnosis) Malignancies / Liver-related outcome;Rare Liver (Auto imune);Ascites;radio
ascites;25;R_AIH_Ascites_6months;(AIH 6 months follow-up (+/- 6 weeks))Outcome / Follow-up during past 6 months;Rare Liver (Auto imune);Ascites;radio
ascites;25;R_AIH_Date_ascites_6months;(AIH 6 months follow-up (+/- 6 weeks))Outcome / Follow-up during past 6 months;Rare Liver (Auto imune);Date ascites;date
ascites;25;R_PSC_Ascites_followup;PSC Follow-up Outcome;Rare Liver (Auto imune);Ascites;radio
ascites;25;R_PSC_Date_ascites_followup;PSC Follow-up Outcome;Rare Liver (Auto imune);Date ascites;date
ascites;25;R_AIH_Ascites_followup;AIH Follow-up Outcome II;Rare Liver (Auto imune);Ascites;radio
ascites;25;R_AIH_Date_ascites_followup;AIH Follow-up Outcome II;Rare Liver (Auto imune);Date Ascites;date
ascites;25;R_PBC_Ascites_followup;PBC Follow-up Outcome;Rare Liver (Auto imune);Ascites;radio
ascites;25;R_PBC_Date_ascites_followup;PBC Follow-up Outcome;Rare Liver (Auto imune);Date ascites;date
ascites;25;weight_w_o_ascites_oedema;Diagnosis Clinical Manifestations;Rare Liver (Vascular);Estimated weight without ascites and oedema;numeric
ascites;25;ascites;Diagnosis Clinical Manifestations;Rare Liver (Vascular);Ascites;radio
ascites;25;ascites_response_diuretics;Diagnosis Clinical Manifestations;Rare Liver (Vascular);Ascites response to diuretics;radio
ascites;25;history_of_ascites;Diagnosis Clinical Manifestations;Rare Liver (Vascular);Ascites;radio
ascites;25;ascites_degree;Diagnosis Imaging / Haemodynamics / Fibroscan;Rare Liver (Vascular);Ascites degree;radio
ascites;25;dia_lab_ascites_alb;Diagnosis Laboratory data;Rare Liver (Vascular);Albumin;numeric
ascites;25;dia_lab_ascites_tprot;Diagnosis Laboratory data;Rare Liver (Vascular);Total protein;numeric
ascites;25;dia_lab_ascites_pmn;Diagnosis Laboratory data;Rare Liver (Vascular);Polymorphonuclear neutrophils;numeric
ascites;25;fu_cli_bef_ascites_volume;Follow-up Clinical and laboratory data;Rare Liver (Vascular);Ascites volume;radio
ascites;25;fu_cli_bef_ascites_sever;Follow-up Clinical and laboratory data;Rare Liver (Vascular);Ascites severity value;radio
ascites;25;fu_cli_last_ascites_volume;Follow-up Clinical and laboratory data;Rare Liver (Vascular);Ascites volume;radio
ascites;25;fu_cli_last_ascites_sever;Follow-up Clinical and laboratory data;Rare Liver (Vascular);Ascites severity;radio
ascites;25;fu_ima_bef_imaging_ascites;Follow-up Imaging data;Rare Liver (Vascular);Ascites;radio
ascites;25;fu_ima_last_ima_ascites;Follow-up Imaging data;Rare Liver (Vascular);Ascites;radio
aspect;1;ivc_aspect;Diagnosis Imaging / Haemodynamics / Fibroscan;Rare Liver (Vascular);Aspect;radio
assessed;4;R_PSC_Ishak_score_assessed_diagnosis;(PSC Diagnosis) Liver histology / staging;Rare Liver (Auto imune);Ishak score assessed;radio
assessed;4;R_PSC_AIH_Azathioprine_metabolites_assessed_followup;PSC Follow-up Treatment;Rare Liver (Auto imune);Azathioprine metabolites assessed;radio
assessed;4;R_AIH_Azathioprine_metabolites_assessed_followup;AIH Follow-up Treatment;Rare Liver (Auto imune);Azathioprine metabolites assessed;radio
assessed;4;R_PBC_Aza_metabolites_assessed_followup;PBC Follow-up Treatment;Rare Liver (Auto imune);Azathioprine metabolites assessed;radio
assist;4;Respiratory failure requiring assisted ventilation;Diagnosis Respiratory;EURO-NMD;Assisted ventilation required;yesno
assist;4;Assisted ventilation required;Respiratory Myasthenic crisis;EURO-NMD;;yesno
assist;4;med_assist_repro_history;Diagnosis Aetiology;Rare Liver (Vascular);History of medically assisted reproduction;radio
assist;4;med_assist_repro_date;Diagnosis Aetiology;Rare Liver (Vascular);Date of medically assisted reproduction;date
assisted;2;Respiratory failure requiring assisted ventilation;Diagnosis Respiratory;EURO-NMD;Assisted ventilation required;yesno
assisted;2;Assisted ventilation required;Respiratory Myasthenic crisis;EURO-NMD;;yesno
associated;1;Disease associated with non-acquired combined pituitary hormone deficiency;PITUITARY;EuRR-Bone & EuRRECa;Disease associated with non-acquired combined pituitary hormone deficiency;
ast;130;Unplanned hospitalization in the last 12 month;Hospitalization ;EURO-NMD;;yesno
ast;130;Unplanned hospitalization in the last 12 month (number);Hospitalization ;EURO-NMD;;int
ast;130;Unplanned hospitalization in the last 12 month (duration);Hospitalization ;EURO-NMD;;int
ast;130;Gastrostomy tube feeding;Bulbar/Gi ;EURO-NMD;;yesno
ast;130;Gastrostomy tube feeding­ date started;Bulbar/Gi ;EURO-NMD;;date
ast;130;Gastrostomy tube feeding­ date stopped;Bulbar/Gi ;EURO-NMD;;date
ast;130;Nasogastric tube feeding;Bulbar/Gi ;EURO-NMD;;yesno
ast;130;Nasogastric tube feeding­ date started;Bulbar/Gi ;EURO-NMD;;date
ast;130;Nasogastric tube feeding­ date stopped;Bulbar/Gi ;EURO-NMD;;date
ast;130;R_AIH_Transient_elastography_FibroScan;(AIH Diagnosis) Liver histology / Staging;Rare Liver (Auto imune);Transient elastography (FibroScan);radio
ast;130;R_AIH_Esophageal_or_gastric_varices;(AIH Diagnosis) Liver related complications;Rare Liver (Auto imune);Esophageal or gastric varices;radio
ast;130;R_AIH_AST;(AIH Diagnosis) Lab values;Rare Liver (Auto imune);AST;numeric
ast;130;R_PBC_Transient_elastography;(PBC Diagnosis) Liver histology / staging;Rare Liver (Auto imune);Transient elastography (Fibroscan);radio
ast;130;R_PBC_Tanner_stage_genital_breast;(PBC Diagnosis) Liver histology / staging;Rare Liver (Auto imune);Tanner stage (1-5, male genital or female breast);numeric
ast;130;R_PBC_Esophageal_or_gastric_varices;(PBC Diagnosis) Liver-related complications / signs of cirrhosis;Rare Liver (Auto imune);Esophageal or gastric varices;radio
ast;130;R_PBC_AST;(PBC Diagnosis) Lab values;Rare Liver (Auto imune);AST;numeric
ast;130;R_PSC_Transient_elastography;(PSC Diagnosis) Liver histology / staging;Rare Liver (Auto imune);Transient elastography (Fibroscan);radio
ast;130;R_PSC_AST;(PSC Diagnosis) Lab values;Rare Liver (Auto imune);AST;numeric
ast;130;R_PSC_Esophageal_gastric_varices;(PSC Diagnosis) Malignancies / Liver-related outcome;Rare Liver (Auto imune);Esophageal or gastric varices;radio
ast;130;R_AIH_AST_6months;(AIH 6 months follow-up (+/- 6 weeks)) Lab values;Rare Liver (Auto imune);AST;numeric
ast;130;Drugs used and stopped during past 12 months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);remark;
ast;130;R_AIH_Esophageal_or_gastric_varices_6months;(AIH 6 months follow-up (+/- 6 weeks))Outcome / Follow-up during past 6 months;Rare Liver (Auto imune);Esophageal or gastric varices;radio
ast;130;R_PSC_AST_followup;PSC Follow-up Lab values;Rare Liver (Auto imune);AST;numeric
ast;130;R_PSC_Transient_elastography_followup;PSC Follow-up Outcome;Rare Liver (Auto imune);Transient elastography (Fibroscan);radio
ast;130;R_PSC_Esophageal_gastric_varices_followup;PSC Follow-up Outcome;Rare Liver (Auto imune);Esophageal or gastric varices;radio
ast;130;R_PSC_Date_esophageal_or_gastric_varices_followup;PSC Follow-up Outcome;Rare Liver (Auto imune);Date esophageal or gastric varices;date
ast;130;R_PSC_Pregnancy_during_last_followup;PSC Follow-up Outcome;Rare Liver (Auto imune);Pregnancy during last 12 months;radio
ast;130;R_AIH_AST_followup;AIH Follow-up Lab values;Rare Liver (Auto imune);AST;numeric
ast;130;R_AIH_Esophageal_or_gastric_varices_followup;AIH Follow-up Outcome II;Rare Liver (Auto imune);Esophageal or gastric varices;radio
ast;130;R_AIH_Date_esophageal_or_gastric_varices_followup;AIH Follow-up Outcome II;Rare Liver (Auto imune);Date of esophageal or gastric varices;date
ast;130;R_PBC_AST_followup;PBC Follow-up Lab values;Rare Liver (Auto imune);AST;numeric
ast;130;R_PBC_Esophageal_or_gastric_varices_followup;PBC Follow-up Outcome;Rare Liver (Auto imune);Esophageal or gastric varices;radio
ast;130;R_PBC_Date_of_esophageal_or_gastric_varices_followup;PBC Follow-up Outcome;Rare Liver (Auto imune);Date esophageal or gastric varices;date
ast;130;R_PBC_Tanner_stage_genital_breast_followup;PBC Follow-up Outcome;Rare Liver (Auto imune);Tanner stage (1-5, male genital or female breast);numeric
ast;130;diast_press;Diagnosis Clinical Manifestations;Rare Liver (Vascular);Diastolic pressue;numeric
ast;130;gastric_varices;Diagnosis Clinical Manifestations;Rare Liver (Vascular);Gastric varices;radio
ast;130;gastro_intestinal_bleeding;Diagnosis Clinical Manifestations;Rare Liver (Vascular);Gastro-intestinal bleeding;radio
ast;130;gastro_intest_bleed_date;Diagnosis Clinical Manifestations;Rare Liver (Vascular);Gastro-intestinal bleeding date;date
ast;130;gastro_intest_bleed_origin;Diagnosis Clinical Manifestations;Rare Liver (Vascular);Gastro-intestinal bleeding origin;radio
ast;130;plasmalevel_homocy_fasting;Diagnosis Aetiology;Rare Liver (Vascular);Level of plasma homocysteine at fasting (umol/l);numeric
ast;130;date_last_delivery_abortio;Diagnosis Aetiology;Rare Liver (Vascular);Date of last delivery/abortion;date
ast;130;dia_lab_ast;Diagnosis Laboratory data;Rare Liver (Vascular);AST;numeric
ast;130;dia_lab_ast_normal_value;Diagnosis Laboratory data;Rare Liver (Vascular);AST normal value;numeric
ast;130;dia_lab_fasting_glucose_unit;Diagnosis Laboratory data;Rare Liver (Vascular);Fasting Serum Glucose Unit;radio
ast;130;dia_lab_fasting_glucose_value_mmol_l;Diagnosis Laboratory data;Rare Liver (Vascular);Fasting serum glucose value;numeric
ast;130;dia_lab_fasting_glucose_value_mg_dl;Diagnosis Laboratory data;Rare Liver (Vascular);Fasting serum glucose value;numeric
ast;130;dia_lab_fasting_tg_value;Diagnosis Laboratory data;Rare Liver (Vascular);Fasting serum triglycerides value;numeric
ast;130;eos_last_contact;End of study End of study;Rare Liver (Vascular);Date of Last Contact;date
ast;130;first_angioplasty;Follow-up Events;Rare Liver (Vascular);First angioplasty/stenting of HV or IVC;radio
ast;130;revision_tips_angioplasty;Follow-up Events;Rare Liver (Vascular);Revision of TIPS or angioplasty;radio
ast;130;pat_angioplasty_stents;Follow-up Events;Rare Liver (Vascular);Was a angioplasty/stenting performed in a previous f-u period;radio
ast;130;fu_cli_bef_ast_value;Follow-up Clinical and laboratory data;Rare Liver (Vascular);AST value;numeric
ast;130;fu_cli_bef_ast_nvalue;Follow-up Clinical and laboratory data;Rare Liver (Vascular);AST normal value;numeric
ast;130;fu_cli_last_date_eval;Follow-up Clinical and laboratory data;Rare Liver (Vascular);Date of evaluation;date
ast;130;fu_cli_last_ascites_volume;Follow-up Clinical and laboratory data;Rare Liver (Vascular);Ascites volume;radio
ast;130;fu_cli_last_ascites_sever;Follow-up Clinical and laboratory data;Rare Liver (Vascular);Ascites severity;radio
ast;130;fu_cli_last_encephalopathy;Follow-up Clinical and laboratory data;Rare Liver (Vascular);Encephalopathy;radio
ast;130;fu_cli_last_hb_value;Follow-up Clinical and laboratory data;Rare Liver (Vascular);Haemoglobin value;numeric
ast;130;fu_cli_last_hto_value;Follow-up Clinical and laboratory data;Rare Liver (Vascular);Haematocrit value;numeric
ast;130;fu_cli_last_leuco_value;Follow-up Clinical and laboratory data;Rare Liver (Vascular);Leukocytes value;numeric
ast;130;fu_cli_last_platelet_count;Follow-up Clinical and laboratory data;Rare Liver (Vascular);Platelet count value;numeric
ast;130;fu_cli_last_pt_sec_value;Follow-up Clinical and laboratory data;Rare Liver (Vascular);Prothrombin time value;numeric
ast;130;fu_cli_last_pt_nvalue;Follow-up Clinical and laboratory data;Rare Liver (Vascular);Prothrombin time normal value;numeric
ast;130;fu_cli_last_pt_inr_value;Follow-up Clinical and laboratory data;Rare Liver (Vascular);Prothrombin time value;numeric
ast;130;fu_cli_last_pt_inr_nvalue;Follow-up Clinical and laboratory data;Rare Liver (Vascular);Prothrombin time normal value;numeric
ast;130;fu_cli_last_pt_quick_value;Follow-up Clinical and laboratory data;Rare Liver (Vascular);Prothrombin time value;numeric
ast;130;fu_cli_last_pt_quic_nvalue;Follow-up Clinical and laboratory data;Rare Liver (Vascular);Prothrombin time normal value;numeric
ast;130;fu_cli_last_alt_value;Follow-up Clinical and laboratory data;Rare Liver (Vascular);ALT value;numeric
ast;130;fu_cli_last_alt_nvalue;Follow-up Clinical and laboratory data;Rare Liver (Vascular);ALT normal value;numeric
ast;130;fu_cli_last_ast_value;Follow-up Clinical and laboratory data;Rare Liver (Vascular);AST value;numeric
ast;130;fu_cli_last_ast_nvalue;Follow-up Clinical and laboratory data;Rare Liver (Vascular);AST normal value;numeric
ast;130;fu_cli_last_alkphos_value;Follow-up Clinical and laboratory data;Rare Liver (Vascular);Alkaline phosphatase value;numeric
ast;130;fu_cli_last_alkphos_nvalue;Follow-up Clinical and laboratory data;Rare Liver (Vascular);Alkaline phosphatase normal value;numeric
ast;130;fu_cli_last_albumin_value;Follow-up Clinical and laboratory data;Rare Liver (Vascular);Serum albumin value;numeric
ast;130;fu_cli_last_albumin_nvalue;Follow-up Clinical and laboratory data;Rare Liver (Vascular);Serum albumin normal value;numeric
ast;130;fu_cli_last_bilirubin_unit;Follow-up Clinical and laboratory data;Rare Liver (Vascular);Serum bilirubin unit;radio
ast;130;fu_cli_last_bilirub_value_mymol_l;Follow-up Clinical and laboratory data;Rare Liver (Vascular);Serum bilirubin value;numeric
ast;130;fu_cli_last_bilirub_value_mg_dl;Follow-up Clinical and laboratory data;Rare Liver (Vascular);Serum bilirubin value;numeric
ast;130;fu_cli_last_factor_v_value;Follow-up Clinical and laboratory data;Rare Liver (Vascular);Factor V value;numeric
ast;130;fu_cli_last_creat_unit;Follow-up Clinical and laboratory data;Rare Liver (Vascular);Serum creatinine unit;radio
ast;130;fu_cli_last_creat_value_mymol_l;Follow-up Clinical and laboratory data;Rare Liver (Vascular);Serum creatinine value;numeric
ast;130;fu_cli_last_creat_value_mg_dl;Follow-up Clinical and laboratory data;Rare Liver (Vascular);Serum creatinine value;numeric
ast;130;fu_cli_last_sodium_value;Follow-up Clinical and laboratory data;Rare Liver (Vascular);Serum sodium value;numeric
ast;130;fu_cli_last_crp_value;Follow-up Clinical and laboratory data;Rare Liver (Vascular);CRP;numeric
ast;130;fu_cli_last_alfafp_value;Follow-up Clinical and laboratory data;Rare Liver (Vascular);Serum alfa foetoprotein value;numeric
ast;130;fu_cli_last_alfafp_nvalue;Follow-up Clinical and laboratory data;Rare Liver (Vascular);Serum alfa foetoprotein normal value;numeric
ast;130;fu_ima_last_date_eval;Follow-up Imaging data;Rare Liver (Vascular);Date of evaluation;date
ast;130;fu_ima_last_ct_irm;Follow-up Imaging data;Rare Liver (Vascular);CT or IRM;radio
ast;130;fu_ima_last_ivc_patent;Follow-up Imaging data;Rare Liver (Vascular);Inferior vena cava patent;radio
ast;130;fu_ima_last_mpv_patent;Follow-up Imaging data;Rare Liver (Vascular);Main portal vein patent;radio
ast;130;fu_ima_last_rpv_patent;Follow-up Imaging data;Rare Liver (Vascular);Right portal vein branch patent;radio
ast;130;fu_ima_last_lpv_patent;Follow-up Imaging data;Rare Liver (Vascular);Left portal vein branch patent;radio
ast;130;fu_ima_last_flow_direction;Follow-up Imaging data;Rare Liver (Vascular);Direction of portal flow;radio
ast;130;fu_ima_last_smv_patent;Follow-up Imaging data;Rare Liver (Vascular);Superior mesenteric vein patent;radio
ast;130;fu_ima_last_sv_patent;Follow-up Imaging data;Rare Liver (Vascular);Splenic vein patent;radio
ast;130;fu_ima_last_cavernoma;Follow-up Imaging data;Rare Liver (Vascular);Cavernoma;radio
ast;130;fu_ima_last_nodules;Follow-up Imaging data;Rare Liver (Vascular);BCS-type, or HNF-like, nodules;radio
ast;130;fu_ima_last_cholangiopathy;Follow-up Imaging data;Rare Liver (Vascular);MRI documented cholangiopathy;radio
ast;130;fu_ima_last_fibroscan;Follow-up Imaging data;Rare Liver (Vascular);Fibroscan;radio
ast;130;fu_ima_last_fibro_value;Follow-up Imaging data;Rare Liver (Vascular);Liver fibroscan;numeric
ast;130;fu_ima_last_iqr_value;Follow-up Imaging data;Rare Liver (Vascular);IQR;numeric
ast;130;fu_ima_last_fibro_date;Follow-up Imaging data;Rare Liver (Vascular);Date of fibroscan;date
ast;130;fu_ima_last_fibro_valid_measures;Follow-up Imaging data;Rare Liver (Vascular);Fibroscan: Number of valid measurements;numeric
ast;130;fu_last_fibro_cap;Follow-up Imaging data;Rare Liver (Vascular);CAP;numeric
ast;130;fu_ima_last_ima_ascites;Follow-up Imaging data;Rare Liver (Vascular);Ascites;radio
ast;130;Age at last follow up (in days):;6. Age at last follow up (in days):;Eurogen (Posterior urethral valves);;[Numeric (Integer)]
ast;130;"d.	Age at last follow-up contact:		";3.       Graft function, eGFR calculated using Schwartz formula:;Eurogen (Kid Transplantation);;[Numeric (Integer)]
ast;130;"e.	eGFR at last follow-up (in ml/min/1.73m2): ";3.       Graft function, eGFR calculated using Schwartz formula:;Eurogen (Kid Transplantation);;[Numeric (Integer)]
ast;130;Date of last information;subject;Genturis;What is the date (yyyy-mm-dd) of the last clinical information of the patient?;date
ast;130;Last name;;ithaca;;string
ast;130;Last name;;ithaca;;string
ast;130;prev_anti_neoplastic;previous_cancer_genetic_syndromes;EURACAN;Previous anti neoplastic agents for head and neck cancer;1, Yes | 2, No | 9, Unknown
ast;130;prev_anti_neoplastic_type;previous_cancer_genetic_syndromes;EURACAN;Previous anti neoplastic agents type;1, Target | 2, Immunotherapy
ast;130;fu_awd_metastatic;clinical_update;EURACAN;AWD, Metastatic;1, Yes | 2, No | 3, Unknown
ast;130;Metastases (M);Tumor's characteristics;PaedCan;Presence of distant lesions (TNM system);M0/M1/Mx
ast;130;Site of metastases;Tumor's characteristics;PaedCan;Definition of the site of metastases;Skin or soft tissues/CNS/Liver/Bone marrow/Lung/Distant nodes/Peritoneum or omentum/Bone/other/Unknown
ast;130;In case of other metastases, specify;Tumor's characteristics;PaedCan;Definition of the site of metastases;String
ast;130;Number of metastasis;Tumor's characteristics;PaedCan;Definition of the number of metastases for every site;singular/multiple
ast;130;Metastases biopsy at diagnosis;Surgery;PaedCan;Report if a biopsy has been perfomed before starting any medical treatment;yes/no/unknown
ast;130;Date of metastases biopsy;Surgery;PaedCan;Date of biopsy;dd/mm/yyyy
ast;130;Resection of metastases at diagnosis;Surgery;PaedCan;Result of resection (before any medical treatment) if perfomed ;not perfomed/ complete tumor resection/ tumor macroscopically resected but surgical margins infiltrated/macroscopic residuals/unknown
ast;130;Date of metastases resection;Surgery;PaedCan;Date of resection ;dd/mm/yyyy
ast;130;Metastases delayed surgery;Surgery;PaedCan;Surgery perfomed after initial treatment (chemo, radio,other);not perfomed/ complete tumor resection/ tumor macroscopically resected but surgical margins infiltrated/macroscopic residuals/unknown
ast;130;Date of metastases delayed surgery;Surgery;PaedCan;Date of delayed surgery;dd/mm/yyyy
ast;130;Patient's status at last follow up;Follow up (one form for each follow up visit);PaedCan;Patient alive or dead;alive/dead/lost to follow up/opted out/unknown
ast;130;Skeletal overgrowth-craniofacial dysmorphism-hyperelastic skin-white matter lesions syndrome;GROWTH & OBESITY;EuRR-Bone & EuRRECa;Skeletal overgrowth-craniofacial dysmorphism-hyperelastic skin-white matter lesions syndrome;
ast;130;Microcephalic osteodysplastic primordial dwarfism type II;GROWTH & OBESITY;EuRR-Bone & EuRRECa;Microcephalic osteodysplastic primordial dwarfism type II;
ast;130;Spastic paraplegia-intellectual disability-nystagmus-obesity syndrome;GROWTH & OBESITY;EuRR-Bone & EuRRECa;Spastic paraplegia-intellectual disability-nystagmus-obesity syndrome;
ast;130;Spondylodysplastic dysplasia ;BONE DYSPLASIA;EuRR-Bone & EuRRECa;Spondylodysplastic dysplasia ;
ast;130;Age at menarche (only wenn premenarcheal in last visit);Clinical Status;ERKNet; ;"YYYY-MM;
premenarcheal"
asymptomatic;1;asymptomatic;Diagnosis Clinical Manifestations;Rare Liver (Vascular);Asymptomatic;radio
atelosteogenesis;1;Atelosteogenesis type II ;BONE DYSPLASIA;EuRR-Bone & EuRRECa;Atelosteogenesis type II ;
atresia-mandibular;1;Short stature-auditory canal atresia-mandibular hypoplasia-skeletal anomalies syndrome ;BONE DYSPLASIA;EuRR-Bone & EuRRECa;Short stature-auditory canal atresia-mandibular hypoplasia-skeletal anomalies syndrome ;
atrium;1;right_atrium_mm_hg;Diagnosis Imaging / Haemodynamics / Fibroscan;Rare Liver (Vascular);Right atrium;numeric
atrophy;2;Tongue atrophy;Diagnosis Muscular;EURO-NMD;Tongue wasting;yesno
atrophy;2;Skeletal muscle atrophy;Diagnosis Muscular;EURO-NMD;Muscle wasting;yesno
attainment;1;Educational attainment;Thyroid Clinical Outcome;EuRR-Bone & EuRRECa;International Standard Classification of Education (ISCED) 2011;Not Known/0/1/2/3/4/5/6/7/8
attendance;5;R_PBC_School_attendance;(PBC Diagnosis) Liver histology / staging;Rare Liver (Auto imune);More than 75% school attendance per year;radio
attendance;5;R_PSC_School_attendance;(PSC Diagnosis) Liver histology / staging;Rare Liver (Auto imune);More than 75% school attendance over the year?;radio
attendance;5;R_PSC_School_attendance_followup;PSC Follow-up Outcome;Rare Liver (Auto imune);More than 75% school attendance over the year?;radio
attendance;5;R_AIH_school_attendance_followup;AIH Follow-up Outcome I;Rare Liver (Auto imune);More than 75% school attendance over the year?;radio
attendance;5;R_PBC_School_attendance_followup;PBC Follow-up Outcome;Rare Liver (Auto imune);More than 75% school attendance per year;radio
au;44;Cause_of_death;Base information;Rare Liver (Auto imune);Cause of death;radio
au;44;Other_cause_of_death;Base information;Rare Liver (Auto imune);Cause;string
au;44;R_AIH_FDR_with_autoimmune_liver_disease;(AIH Diagnosis) Demographics;Rare Liver (Auto imune);First degree relative with autoimmune liver disease;radio
au;44;R_AIH_FDR_type_autoimmune_liver_disease;(AIH Diagnosis) Demographics;Rare Liver (Auto imune);Type of autoimmune liver disease?;checkbox
au;44;R_AIH_Other_autoantibodies;(AIH Diagnosis) Autoantibodies;Rare Liver (Auto imune);Other autoantibodies;radio
au;44;R_PBC_FDR_with_autoimmune_liver_disease;(PBC Diagnosis) Demographics;Rare Liver (Auto imune);First degree relative with autoimmune liver disease;radio
